"ingredient","variety","certification","emissions"
"mushrooms","canned","conventional",2.55
"corn","canned","conventional",1.2
"tomato","canned","conventional",1.87
"beans","canned","conventional",1.21
"peas","canned","conventional",1.24
"chickpeas","canned","conventional",1.25
"lentils","canned","conventional",1.46
"pineapple","canned","conventional",1.71
"apricot","canned","conventional",1.7
"peach","canned","conventional",1.52
"basil","dried","conventional",3.124
"rosemary","dried","conventional",0.532
"thyme","dried","conventional",2.812
"dates","dried","organic",4.22
"tea","dried","conventional",5.06
"oregano","dried","conventional",2.362
"lentils","dried","conventional",0.61
"dates","dried","conventional",3.01
"spices","fresh","conventional",0.652
"basil","fresh","conventional",0.272
"oregano","fresh","conventional",0.572
"beetroot","fresh","conventional",0.32
"dates","fresh","organic",3.56
"crab","frozen","conventional",12.59
"crayfish","frozen","conventional",12.59
"langostino","frozen","conventional",12.59
"prawns","frozen","conventional",12.59
"scampi","frozen","conventional",12.59
"shrimps","frozen","conventional",12.59
"brussel sprouts","frozen","conventional",0.59
"strawberries","frozen","conventional",0.71
"blueberries","frozen","conventional",0.64
"raspberries","frozen","conventional",0.66
"french fries","frozen","conventional",0.7
"beetroot","glass","conventional",1.36
"red cabbage","glass","conventional",0.96
"kale","glass","conventional",0.8
"black-eyed beans","fresh","conventional",0.403
"plum","fresh","conventional",0.22
"burger bun","fresh","conventional",0.61
"anise","fresh","conventional",4.526
"baking powder","fresh","conventional",1.504
"baking soda","fresh","conventional",1.249
"lemon balm","fresh","conventional",0.602
"balsamic vinegar","fresh","conventional",1.474
"bbq sauce","fresh","conventional",0.983
"bay leaves","fresh","conventional",0.602
"cardamom","fresh","conventional",0.652
"chervil","fresh","conventional",0.356
"chia seeds","fresh","conventional",0.92
"chili","fresh","conventional",0.681
"cinnamon","fresh","conventional",0.643
"clove","fresh","conventional",0.492
"cilantro","fresh","conventional",0.656
"cumin","fresh","conventional",0.652
"turmeric","fresh","conventional",0.652
"curry","fresh","conventional",0.652
"dill","fresh","conventional",0.682
"fish sauce","fresh","conventional",2.388
"gelatin","fresh","conventional",0.652
"ginger","fresh","conventional",1.226
"herbs","fresh","conventional",0.652
"ketchup","fresh","conventional",1.352
"lemon grass","fresh","conventional",4.562
"macadamia nuts","fresh","conventional",2.678
"marjoram","fresh","conventional",0.602
"mayonnaise","fresh","conventional",1.914
"caraway","fresh","conventional",0.642
"mustard","fresh","conventional",1.108
"mustard seeds","fresh","conventional",4.784
"mustard leaves","fresh","conventional",4.784
"nutmeg","fresh","conventional",0.367
"sesame oil","fresh","conventional",3.019
"onion powder","fresh","conventional",4.072
"paprika","fresh","conventional",4.274
"parsley","fresh","conventional",0.682
"pecans","fresh","conventional",2.678
"pepper","fresh","conventional",5.314
"pine nuts","fresh","conventional",2.518
"poppy seed","fresh","conventional",0.92
"saffron","fresh","conventional",0.692
"sage","fresh","conventional",0.682
"salt","fresh","conventional",0.584
"sea salt","fresh","conventional",0.384
"sesame","fresh","conventional",2.612
"soy sauce","fresh","conventional",1.344
"agave syrup","fresh","conventional",0.969
"tabasco sauce","fresh","conventional",4.274
"tarragon","fresh","conventional",0.602
"tomatoes paste","fresh","conventional",1.732
"vanilin","fresh","conventional",2.267
"vanilla extract","fresh","conventional",13.827
"apple vinegar","fresh","conventional",3.284
"white wine vinegar","fresh","conventional",1.474
"wasabi","fresh","conventional",0.835
"yeast extract","fresh","conventional",2.194
"yeast","fresh","conventional",0.754
"beer","fresh","conventional",0.77
"brandy","fresh","conventional",2.07
"cognac","fresh","conventional",2.07
"liquor","fresh","conventional",2.07
"tawny port","fresh","conventional",2.38
"red wine","fresh","conventional",2.16
"white wine","fresh","conventional",2.16
"wine","fresh","conventional",2.16
"half-fat margarine","fresh","conventional",1.15
"extravirgin olive oil","fresh","conventional",3.06
"olive oil","fresh","conventional",3.06
"sunflower oil","fresh","conventional",2.24
"vegan spreadable fat","fresh","conventional",1.67
"full-fat margarine","fresh","conventional",1.78
"clams","fresh","conventional",6.29
"cockles","fresh","conventional",6.29
"mussels","fresh","conventional",6.29
"oysters","fresh","conventional",6.29
"scallops","fresh","conventional",6.29
"egg","fresh","conventional",2.04
"sausage","fresh","conventional",3.62
"hot dog","fresh","conventional",3.77
"mushrooms","fresh","conventional",1.31
"morel mushrooms","fresh","conventional",1.31
"porcini mushrooms","fresh","conventional",1.31
"portobello mushrooms","fresh","conventional",1.31
"shiitake mushrooms","fresh","conventional",1.31
"wild mushrooms","fresh","conventional",1.31
"lamb's lettuce","fresh","conventional",0.27
"collard green","fresh","conventional",0.35
"kale","fresh","conventional",0.35
"cherry tomatoes","fresh","conventional",0.91
"kohlrabi","fresh","conventional",0.43
"acorn squash","fresh","conventional",0.21
"banana squash","fresh","conventional",0.21
"butternut squash","fresh","conventional",0.21
"delicata squash","fresh","conventional",0.21
"gem squash","fresh","conventional",0.21
"hubbard squash","fresh","conventional",0.21
"pumpkin","fresh","conventional",0.21
"spaghetti squash","fresh","conventional",0.21
"chives","fresh","conventional",0.21
"leek","fresh","conventional",0.21
"brussel sprouts","fresh","conventional",0.28
"arugula","fresh","conventional",0.27
"mixed salad","fresh","conventional",0.28
"sweet potato","fresh","conventional",0.41
"savoy","fresh","conventional",0.3
"wholegrain bread bun","fresh","conventional",0.6
"wheat bread bun","fresh","conventional",0.62
"bulgur","fresh","conventional",0.52
"couscous","fresh","conventional",0.44
"millet","fresh","conventional",0.52
"crispbread","fresh","conventional",0.53
"egg noodles","fresh","conventional",0.46
"lasagna noodles","fresh","conventional",0.46
"linguine","fresh","conventional",0.46
"pasta","fresh","conventional",0.46
"wholewheat noodles","fresh","conventional",0.44
"toast","fresh","conventional",0.48
"wholegrain toast","fresh","conventional",0.46
"wholegrain bread","fresh","conventional",0.59
"bread baguette","fresh","conventional",0.61
"wheat bread","fresh","conventional",0.61
"all-purpose flour","fresh","conventional",0.34
"panko","fresh","conventional",0.34
"wholewheat flour","fresh","conventional",0.34
"walnuts","fresh","conventional",0.95
"brown lentils","fresh","conventional",0.61
"green lentils","fresh","conventional",0.61
"lentils","fresh","conventional",0.61
"cream cheese","fresh","conventional",5.65
"philadelphia cream cheese","fresh","conventional",5.65
"ricotta","fresh","conventional",5.65
"low-fat curd cheese","fresh","conventional",2.52
"mozzarella","fresh","conventional",4.34
"curd cheese","fresh","conventional",3.4
"whipping cream","fresh","conventional",4.31
"schmand","fresh","conventional",3.66
"blackberries","fresh","conventional",0.69
"fig","fresh","conventional",0.89
"grapefruit","fresh","conventional",0.39
"blueberries","fresh","conventional",0.54
"raspberries","fresh","conventional",1.2
"cherries","fresh","conventional",0.22
"honeyberries","fresh","conventional",0.22
"jabuticabas","fresh","conventional",0.22
"surinam cherries","fresh","conventional",0.22
"mango","fresh","conventional",1.73
"passion fruit","fresh","conventional",2.3
"ackee","fresh","conventional",0.22
"damson","fresh","conventional",0.22
"jambul","fresh","conventional",0.22
"japanese plum","fresh","conventional",0.22
"gooseberries","fresh","conventional",0.69
